Pop,Group,Shape,Fill,Color,Transparency,Size,Country,Region,Continent
Abazin.HO,modern,16.0,Grey,Grey,0.8,1.5,Russia,Central/West Asia,Asia
Abkhasian.HO,modern,16.0,Grey,Grey,0.8,1.5,Georgia,Central/West Asia,Asia
Adygei.DG,modern,16.0,Grey,Grey,0.8,1.5,Russia,Central/West Asia,Asia
Adygei.HO,modern,16.0,Grey,Grey,0.8,1.5,Russia,Central/West Asia,Asia
Albanian.DG,modern,16.0,Grey,Grey,0.8,1.5,Albania,Europe,Europe
Albanian.HO,modern,16.0,Grey,Grey,0.8,1.5,Albania,Europe,Europe
Aleut.DG,modern,16.0,Grey,Grey,0.8,1.5,Russia,Central/West Asia,Asia
Aleut.HO,modern,16.0,Grey,Grey,0.8,1.5,Russia,Central/West Asia,Asia
Altaian.DG,modern,16.0,Grey,Grey,0.8,1.5,Russia,Central/West Asia,Asia
Altaian.HO,modern,16.0,Grey,Grey,0.8,1.5,Russia,Central/West Asia,Asia
Altaian.SG,modern,16.0,Grey,Grey,0.8,1.5,Russia,Central/West Asia,Asia
Ami.DG,modern,16.0,Grey,Grey,0.8,1.5,Taiwan,East Asia,Other
Ami.HO,modern,16.0,Grey,Grey,0.8,1.5,Taiwan,East Asia,Other
Armenian.DG,modern,16.0,Grey,Grey,0.8,1.5,Armenia,Central/West Asia,Asia
Armenian_Hemsheni.HO,modern,16.0,Grey,Grey,0.8,1.5,Turkey,Central/West Asia,Asia
Armenian.HO,modern,16.0,Grey,Grey,0.8,1.5,Armenia,Central/West Asia,Asia
Armenian.WGA.HO,modern,16.0,Grey,Grey,0.8,1.5,Armenia,Central/West Asia,Asia
Atayal.DG,modern,16.0,Grey,Grey,0.8,1.5,Taiwan,East Asia,Other
Atayal.HO,modern,16.0,Grey,Grey,0.8,1.5,Taiwan,East Asia,Other
Avar.HO,modern,16.0,Grey,Grey,0.8,1.5,Russia,Central/West Asia,Asia
Avar.SG,modern,16.0,Grey,Grey,0.8,1.5,Russia,Central/West Asia,Asia
